"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US02538","ZCTA5 02538","4128","640"
"8600000US02539","ZCTA5 02539","4320","17"
"8600000US02540","ZCTA5 02540","8346","673"
"8600000US02542","ZCTA5 02542","949","175"
"8600000US02543","ZCTA5 02543","649","188"
"8600000US02553","ZCTA5 02553","111","112"
"8600000US02554","ZCTA5 02554","10935","137"
"8600000US02556","ZCTA5 02556","2499","370"
"8600000US02557","ZCTA5 02557","4665","33"
"8600000US02558","ZCTA5 02558","1170","365"
"8600000US02559","ZCTA5 02559","3746","508"
"8600000US02561","ZCTA5 02561","296","214"
"8600000US02562","ZCTA5 02562","3094","377"
"8600000US02563","ZCTA5 02563","9861","678"
"8600000US02564","ZCTA5 02564","233","137"
"8600000US02568","ZCTA5 02568","4107","25"
"8600000US02571","ZCTA5 02571","10608","940"
"8600000US02575","ZCTA5 02575","2418","313"
"8600000US02576","ZCTA5 02576","4383","630"
"8600000US02584","ZCTA5 02584","0","12"
"8600000US02601","ZCTA5 02601","15677","754"
"8600000US02630","ZCTA5 02630","1957","469"
"8600000US02631","ZCTA5 02631","9730","80"
"8600000US02632","ZCTA5 02632","10208","569"
"8600000US02633","ZCTA5 02633","4070","282"
"8600000US02635","ZCTA5 02635","3004","497"
"8600000US02637","ZCTA5 02637","199","82"
"8600000US02638","ZCTA5 02638","3126","325"
"8600000US02639","ZCTA5 02639","3198","361"
"8600000US02641","ZCTA5 02641","194","106"
"8600000US02642","ZCTA5 02642","4876","49"
"8600000US02643","ZCTA5 02643","0","12"
"8600000US02644","ZCTA5 02644","3791","416"
"8600000US02645","ZCTA5 02645","9116","426"
"8600000US02646","ZCTA5 02646","2094","352"
"8600000US02647","ZCTA5 02647","97","81"
"8600000US02648","ZCTA5 02648","6667","494"
"8600000US02649","ZCTA5 02649","14148","51"
"8600000US02650","ZCTA5 02650","901","195"
"8600000US02651","ZCTA5 02651","25","40"
"8600000US02652","ZCTA5 02652","687","233"
"8600000US02653","ZCTA5 02653","5856","54"
"8600000US02655","ZCTA5 02655","3208","334"
"8600000US02657","ZCTA5 02657","2973","26"
"8600000US02659","ZCTA5 02659","1021","212"
"8600000US02660","ZCTA5 02660","6196","411"
"8600000US02663","ZCTA5 02663","102","99"
"8600000US02664","ZCTA5 02664","8693","500"
"8600000US02666","ZCTA5 02666","435","182"
"8600000US02667","ZCTA5 02667","3515","292"
"8600000US02668","ZCTA5 02668","2660","403"
"8600000US02669","ZCTA5 02669","27","36"
"8600000US02670","ZCTA5 02670","1195","155"
"8600000US02671","ZCTA5 02671","1026","233"
"8600000US02672","ZCTA5 02672","277","195"
"8600000US02673","ZCTA5 02673","8517","567"
"8600000US02675","ZCTA5 02675","6580","484"
"8600000US02702","ZCTA5 02702","4382","272"
"8600000US02703","ZCTA5 02703","44789","41"
"8600000US02713","ZCTA5 02713","49","22"
"8600000US02715","ZCTA5 02715","3893","447"
"8600000US02717","ZCTA5 02717","4917","274"
"8600000US02718","ZCTA5 02718","6394","580"
"8600000US02719","ZCTA5 02719","16045","38"
"8600000US02720","ZCTA5 02720","30160","950"
"8600000US02721","ZCTA5 02721","25978","915"
"8600000US02723","ZCTA5 02723","15066","792"
"8600000US02724","ZCTA5 02724","17769","884"
"8600000US02725","ZCTA5 02725","2487","449"
"8600000US02726","ZCTA5 02726","15678","451"
"8600000US02738","ZCTA5 02738","5132","27"
"8600000US02739","ZCTA5 02739","6336","18"
"8600000US02740","ZCTA5 02740","43454","968"
"8600000US02743","ZCTA5 02743","10529","25"
"8600000US02744","ZCTA5 02744","11170","727"
"8600000US02745","ZCTA5 02745","24993","907"
"8600000US02746","ZCTA5 02746","15417","810"
"8600000US02747","ZCTA5 02747","22947","588"
"8600000US02748","ZCTA5 02748","11607","573"
"8600000US02760","ZCTA5 02760","27474","345"
"8600000US02762","ZCTA5 02762","9183","32"
"8600000US02763","ZCTA5 02763","1706","342"
"8600000US02764","ZCTA5 02764","3837","444"
"8600000US02766","ZCTA5 02766","19745","29"
"8600000US02767","ZCTA5 02767","14488","218"
"8600000US02769","ZCTA5 02769","12173","23"
"8600000US02770","ZCTA5 02770","5407","124"
"8600000US02771","ZCTA5 02771","15441","20"
"8600000US02777","ZCTA5 02777","16567","23"
"8600000US02779","ZCTA5 02779","6730","20"
"8600000US02780","ZCTA5 02780","50438","654"
"8600000US02790","ZCTA5 02790","15793","225"
"8600000US02791","ZCTA5 02791","402","160"
